('00001', '001'),
('00075', '004'),
('00076', '011'),
('00076', '005'),
('00077', '011'),
('00077', '006'),
('00078', '011'),
('00078', '007'),
('00079', '011'),
('00079', '008'),
('00080', '011'),
('00080', '009'),
('00081', '011'),
('00081', '010'),
('00082', '012'),
('00082', '001'),
('00083', '012'),
('00083', '002'),
('00084', '012'),
('00084', '003'),
('00085', '012'),
('00085', '004'),
('00086', '012'),
('00086', '005'),
('00087', '012'),
('00087', '006'),
('00088', '012'),
('00088', '007'),
('00089', '012'),
('00089', '008'),
('00090', '012'),
('00090', '009'),
('00091', '012'),
('00091', '010'),
('00092', '012'),
('00092', '011'),
('00093', '013'),
('00093', '001'),
('00094', '013'),
('00094', '002'),
('00095', '013'),
('00095', '003'),
('00096', '013'),
('00096', '004'),
('00097', '013'),
('00097', '005'),
('00098', '013'),
('00098', '006'),
('00099', '013'),
('00099', '007'),
('00100', '013'),
('00100', '008'),
('00101', '013'),
('00101', '009'),
('00102', '013'),
('00102', '010'),
('00103', '013'),
('00103', '011'),
('00104', '013'),
('00104', '012'),
('00105', '014'),
('00105', '001'),
('00106', '014'),
('00106', '002'),
('00107', '014'),
('00107', '003'),
('00108', '014'),
('00108', '004'),
('00109', '014'),
('00109', '005'),
('00110', '014'),
('00110', '006'),
('00111', '014'),
('00111', '007'),
('00112', '014'),
('00112', '008'),
('00113', '014'),
('00113', '009'),
('00114', '014'),
('00114', '010'),
('00115', '014'),
('00115', '011'),
('00116', '014'),
('00116', '012'),
('00117', '014'),
('00117', '013'),
('00118', '015'),
('00118', '001'),
('00119', '015'),
('00119', '002'),
('00120', '015'),
('00120', '003'),
('00121', '015'),
('00121', '004'),
('00122', '015'),
('00122', '005'),
('00123', '015'),
('00123', '006'),
('00124', '015'),
('00124', '007'),
('00125', '015'),
('00125', '008'),
('00126', '015'),
('00126', '009'),
('00127', '015'),
('00127', '010'),
('00128', '015'),
('00128', '011'),
('00129', '015'),
('00129', '012'),
('00130', '015'),
('00130', '013'),
('00131', '015'),
('00131', '014'),
('00132', '016'),
('00132', '001'),
('00133', '016'),
('00133', '002'),
('00134', '016'),
('00134', '003'),
('00135', '016'),
('00135', '004'),
('00136', '016'),
('00136', '005'),
('00137', '016'),
('00137', '006'),
('00138', '016'),
('00138', '007'),
('00139', '016'),
('00139', '008'),
('00140', '016'),
('00140', '009'),
('00141', '016'),
('00141', '010'),
('00142', '016'),
('00142', '011'),
('00143', '016'),
('00143', '012'),
('00144', '016'),
('00144', '013'),
('00145', '016'),
('00145', '014'),
('00146', '016'),
('00146', '015'),
('00147', '017'),
('00147', '001'),
('00148', '017'),
('00148', '002'),
('00149', '017'),
('00149', '003'),
('00150', '017'),
('00150', '004'),
('00151', '017'),
('00151', '005'),
('00152', '017'),
('00152', '006'),
('00153', '017'),
('00153', '007'),
('00154', '017'),
('00154', '008'),
('00155', '017'),
('00155', '009'),
('00156', '017'),
('00156', '010'),
('00157', '017'),
('00157', '011'),
('00158', '017'),
('00158', '012'),
('00159', '017'),
('00159', '013'),
('00160', '017'),
('00160', '014'),
('00161', '017'),
('00161', '015'),
('00162', '017'),
('00162', '016'),
('00163', '018'),
('00163', '001'),
('00164', '018'),
('00164', '002'),
('00165', '018'),
('00165', '003'),
('00166', '018'),
('00166', '004'),
('00167', '018'),
('00167', '005'),
('00168', '018'),
('00168', '006'),
('00169', '018'),
('00169', '007'),
('00170', '018'),
('00170', '008'),
('00171', '018'),
('00171', '009'),
('00172', '018'),
('00172', '010'),
('00173', '018'),
('00173', '011'),
('00174', '018'),
('00174', '012'),
('00175', '018'),
('00175', '013'),
('00176', '018'),
('00176', '014'),
('00177', '018'),
('00177', '015'),
('00178', '018'),
('00178', '016'),
('00179', '018'),
('00179', '017'),
('00180', '019'),
('00180', '001'),
('00181', '019'),
('00181', '002'),
('00182', '019'),
('00182', '003'),
('00183', '019'),
('00183', '004'),
('00184', '019'),
('00184', '005'),
('00185', '019'),
('00185', '006'),
('00186', '019'),
('00186', '007'),
('00187', '019'),
('00187', '008'),
('00188', '019'),
('00188', '009'),
('00189', '019'),
('00189', '010'),
('00190', '019'),
('00190', '011'),
('00191', '019'),
('00191', '012'),
('00192', '019'),
('00192', '013'),
('00193', '019'),
('00193', '014'),
('00194', '019'),
('00194', '015'),
('00195', '019'),
('00195', '016'),
('00196', '019'),
('00196', '017'),
('00197', '019'),
('00197', '018'),
('00198', '020'),
('00198', '001'),
('00199', '020'),
('00199', '002'),
('00200', '020'),
('00200', '003'),
('00201', '020'),
('00201', '004'),
('00202', '020'),
('00202', '005'),
('00203', '020'),
('00203', '006'),
('00204', '020'),
('00204', '007'),
('00205', '020'),
('00205', '008'),
('00206', '020'),
('00206', '009'),
('00207', '020'),
('00207', '010'),
('00208', '020'),
('00208', '011'),
('00209', '020'),
('00209', '012'),
('00210', '020'),
('00210', '013'),
('00211', '020'),
('00211', '014'),
('00212', '020'),
('00212', '015'),
('00213', '020'),
('00213', '016'),
('00214', '020'),
('00214', '017'),
('00215', '020'),
('00215', '018'),
('00216', '020'),
('00216', '019'),
('00217', '021'),
('00217', '001'),
('00218', '021'),
('00218', '002'),
('00219', '021'),
('00219', '003'),
('00220', '021'),
('00220', '004'),
('00221', '021'),
('00221', '005'),
('00222', '021'),
('00222', '006'),
('00223', '021'),
('00223', '007'),
('00224', '021'),
('00224', '008'),
('00225', '021'),
('00225', '009'),
('00226', '021'),
('00226', '010'),
('00227', '021'),
('00227', '011'),
('00228', '021'),
('00228', '012'),
('00229', '021'),
('00229', '013'),
('00230', '021'),
('00230', '014'),
('00231', '021'),
('00231', '015'),
('00232', '021'),
('00232', '016'),
('00233', '021'),
('00233', '017'),
('00234', '021'),
('00234', '018'),
('00235', '021'),
('00235', '019'),
('00236', '021'),
('00236', '020'),
('00237', '022'),
('00237', '001'),
('00238', '022'),
('00238', '002'),
('00239', '022'),
('00239', '003'),
('00240', '022'),
('00240', '004'),
('00241', '022'),
('00241', '005'),
('00242', '022'),
('00242', '006'),
('00243', '022'),
('00243', '007'),
('00244', '022'),
('00244', '008'),
('00245', '022'),
('00245', '009'),
('00246', '022'),
('00246', '010'),
('00247', '022'),
('00247', '011'),
('00248', '022'),
('00248', '012'),
('00249', '022'),
('00249', '013'),
('00250', '022'),
('00250', '014'),
('00251', '022'),
('00251', '015'),
('00252', '022'),
('00252', '016'),
('00253', '022'),
('00253', '017'),
('00254', '022'),
('00254', '018'),
('00255', '022'),
('00255', '019'),
('00256', '022'),
('00256', '020'),
('00257', '022'),
('00257', '021'),
('00258', '023'),
('00258', '001'),
('00259', '023'),
('00259', '002'),
('00260', '023'),
('00260', '003'),
('00261', '023'),
('00261', '004'),
('00262', '023'),
('00262', '005'),
('00263', '023'),
('00263', '006'),
('00264', '023'),
('00264', '007'),
('00265', '023'),
('00265', '008'),
('00266', '023'),
('00266', '009'),
('00267', '023'),
('00267', '010'),
('00268', '023'),
('00268', '011'),
('00269', '023'),
('00269', '012'),
('00270', '023'),
('00270', '013'),
('00271', '023'),
('00271', '014'),
('00272', '023'),
('00272', '015'),
('00273', '023'),
('00273', '016'),
('00274', '023'),
('00274', '017'),
('00275', '023'),
('00275', '018'),
('00276', '023'),
('00276', '019'),
('00277', '023'),
('00277', '020'),
('00278', '023'),
('00278', '021'),
('00279', '023'),
('00279', '022'),
('00280', '024'),
('00280', '001'),
('00281', '024'),
('00281', '002'),
('00282', '024'),
('00282', '003'),
('00283', '024'),
('00283', '004'),
('00284', '024'),
('00284', '005'),
('00285', '024'),
('00285', '006'),
('00286', '024'),
('00286', '007'),
('00287', '024'),
('00287', '008'),
('00288', '024'),
('00288', '009'),
('00289', '024'),
('00289', '010'),
('00290', '024'),
('00290', '011'),
('00291', '024'),
('00291', '012'),
('00292', '024'),
('00292', '013'),
('00293', '024'),
('00293', '014'),
('00294', '024'),
('00294', '015'),
('00295', '024'),
('00295', '016'),
('00296', '024'),
('00296', '017'),
('00297', '024'),
('00297', '018'),
('00298', '024'),
('00298', '019'),
('00299', '024'),
('00299', '020'),
('00300', '024'),
('00300', '021'),
('00301', '024'),
('00301', '022'),
('00302', '024'),
('00302', '023'),
('00303', '025'),
('00303', '001'),
('00304', '025'),
('00304', '002'),
('00305', '025'),
('00305', '003'),
('00306', '025'),
('00306', '004'),
('00307', '025'),
('00307', '005'),
('00308', '025'),
('00308', '006'),
('00309', '025'),
('00309', '007'),
('00310', '025'),
('00310', '008'),
('00311', '025'),
('00311', '009'),
('00312', '025'),
('00312', '010'),
('00313', '025'),
('00313', '011'),
('00314', '025'),
('00314', '012'),
('00315', '025'),
('00315', '013'),
('00316', '025'),
('00316', '014'),
('00317', '025'),
('00317', '015'),
('00318', '025'),
('00318', '016'),
('00319', '025'),
('00319', '017'),
('00320', '025'),
('00320', '018'),
('00321', '025'),
('00321', '019'),
('00322', '025'),
('00322', '020'),
('00323', '025'),
('00323', '021'),
('00324', '025'),
('00324', '022'),
('00325', '025'),
('00325', '023'),
('00326', '025'),
('00326', '024'),
('00327', '026'),
('00327', '001'),
('00328', '026'),
('00328', '002'),
('00329', '026'),
('00329', '003'),
('00330', '026'),
('00330', '004'),
('00331', '026'),
('00331', '005'),
('00332', '026'),
('00332', '006'),
('00333', '026'),
('00333', '007'),
('00334', '026'),
('00334', '008'),
('00335', '026'),
('00335', '009'),
('00336', '026'),
('00336', '010'),
('00337', '026'),
('00337', '011'),
('00338', '026'),
('00338', '012'),
('00339', '026'),
('00339', '013'),
('00340', '026'),
('00340', '014'),
('00341', '026'),
('00341', '015'),
('00342', '026'),
('00342', '016'),
('00343', '026'),
('00343', '017'),
('00344', '026'),
('00344', '018'),
('00345', '026'),
('00345', '019'),
('00346', '026'),
('00346', '020'),
('00347', '026'),
('00347', '021'),
('00348', '026'),
('00348', '022'),
('00349', '026'),
('00349', '023'),
('00350', '026'),
('00350', '024'),
('00351', '026'),
('00351', '025')
